code,lat,lon
21210140,4.35128,-75.51246
21245140,4.711861111,-75.09445556
25027410,8.666333333,-73.82080556
26017060,2.2,-76.5
26075090,3.483333333,-76.21666667
26095200,3.866666667,-76.18333333
26110220,4.683333333,-76.11666667
29035180,9.928472222,-75.27991667
